Features,Category,Mandatory
INTERFACE,Semantics,1
NPROCS,Scale,0
TOTAL_BYTES_READ,Size,0
TOTAL_BYTES_WRITTEN,Size,0
TOTAL_MPIIO_COLL_OPENS,MD,0
TOTAL_MPIIO_COLL_READS,Count,0
TOTAL_MPIIO_COLL_WRITES,Count,0
TOTAL_MPIIO_HINTS,Bitfield,0
TOTAL_MPIIO_INDEP_OPENS,MD,0
TOTAL_MPIIO_INDEP_READS,Count,0
TOTAL_MPIIO_INDEP_WRITES,Count,0
TOTAL_MPIIO_NB_READS,Count,0
TOTAL_MPIIO_NB_WRITES,Count,0
TOTAL_MPIIO_SIZE_READ_AGG_0_100,Count,0
TOTAL_MPIIO_SIZE_READ_AGG_100K_1M,Count,0
TOTAL_MPIIO_SIZE_READ_AGG_100M_1G,Count,0
TOTAL_MPIIO_SIZE_READ_AGG_100_1K,Count,0
TOTAL_MPIIO_SIZE_READ_AGG_10K_100K,Count,0
TOTAL_MPIIO_SIZE_READ_AGG_10M_100M,Count,0
TOTAL_MPIIO_SIZE_READ_AGG_1G_PLUS,Count,0
TOTAL_MPIIO_SIZE_READ_AGG_1K_10K,Count,0
TOTAL_MPIIO_SIZE_READ_AGG_1M_4M,Count,0
TOTAL_MPIIO_SIZE_READ_AGG_4M_10M,Count,0
TOTAL_MPIIO_SIZE_WRITE_AGG_0_100,Count,0
TOTAL_MPIIO_SIZE_WRITE_AGG_100K_1M,Count,0
TOTAL_MPIIO_SIZE_WRITE_AGG_100M_1G,Count,0
TOTAL_MPIIO_SIZE_WRITE_AGG_100_1K,Count,0
TOTAL_MPIIO_SIZE_WRITE_AGG_10K_100K,Count,0
TOTAL_MPIIO_SIZE_WRITE_AGG_10M_100M,Count,0
TOTAL_MPIIO_SIZE_WRITE_AGG_1G_PLUS,Count,0
TOTAL_MPIIO_SIZE_WRITE_AGG_1K_10K,Count,0
TOTAL_MPIIO_SIZE_WRITE_AGG_1M_4M,Count,0
TOTAL_MPIIO_SIZE_WRITE_AGG_4M_10M,Count,0
TOTAL_MPIIO_SPLIT_READS,Count,0
TOTAL_MPIIO_SPLIT_WRITES,Count,0
TOTAL_MPIIO_SYNCS,Count,0
TOTAL_MPIIO_VIEWS,Count,0
TOTAL_POSIX_CONSEC_READS,Count,0
TOTAL_POSIX_CONSEC_WRITES,Count,0
TOTAL_POSIX_FDSYNCS,Count,0
TOTAL_POSIX_FILE_ALIGNMENT,Count,0
TOTAL_POSIX_FILE_NOT_ALIGNED,Count,0
TOTAL_POSIX_FSYNCS,Count,0
TOTAL_POSIX_MAX_BYTE_READ,Count,0
TOTAL_POSIX_MAX_BYTE_WRITTEN,Count,0
TOTAL_POSIX_MEM_ALIGNMENT,Count,0
TOTAL_POSIX_MEM_NOT_ALIGNED,Count,0
TOTAL_POSIX_MMAPS,Count,0
TOTAL_POSIX_MODE,Count,0
TOTAL_POSIX_OPENS,Count,0
TOTAL_POSIX_READS,Count,0
TOTAL_POSIX_RW_SWITCHES,Count,0
TOTAL_POSIX_SEEKS,Count,0
TOTAL_POSIX_SEQ_READS,Count,0
TOTAL_POSIX_SEQ_WRITES,Count,0
TOTAL_POSIX_SIZE_READ_0_100,Count,0
TOTAL_POSIX_SIZE_READ_100K_1M,Count,0
TOTAL_POSIX_SIZE_READ_100M_1G,Count,0
TOTAL_POSIX_SIZE_READ_100_1K,Count,0
TOTAL_POSIX_SIZE_READ_10K_100K,Count,0
TOTAL_POSIX_SIZE_READ_10M_100M,Count,0
TOTAL_POSIX_SIZE_READ_1G_PLUS,Count,0
TOTAL_POSIX_SIZE_READ_1K_10K,Count,0
TOTAL_POSIX_SIZE_READ_1M_4M,Count,0
TOTAL_POSIX_SIZE_READ_4M_10M,Count,0
TOTAL_POSIX_SIZE_WRITE_0_100,Count,0
TOTAL_POSIX_SIZE_WRITE_100K_1M,Count,0
TOTAL_POSIX_SIZE_WRITE_100M_1G,Count,0
TOTAL_POSIX_SIZE_WRITE_100_1K,Count,0
TOTAL_POSIX_SIZE_WRITE_10K_100K,Count,0
TOTAL_POSIX_SIZE_WRITE_10M_100M,Count,0
TOTAL_POSIX_SIZE_WRITE_1G_PLUS,Count,0
TOTAL_POSIX_SIZE_WRITE_1K_10K,Count,0
TOTAL_POSIX_SIZE_WRITE_1M_4M,Count,0
TOTAL_POSIX_SIZE_WRITE_4M_10M,Count,0
TOTAL_POSIX_STATS,Count,0
TOTAL_POSIX_WRITES,Count,0
TOTAL_STDIO_OPENS,Count,0
TOTAL_STDIO_READS,Count,0
TOTAL_STDIO_SEEKS,Count,0
TOTAL_STDIO_WRITES,Count,0
TOTAL_IO,Count,0
TOTAL_IO_PER_PROC,Count,0
TOTAL_READ_OPS,Count,0
TOTAL_WRITE_OPS,Count,0
TOTAL_IO_OPS,Count,0
TOTAL_SIZE_IO_0_100,Count,0
TOTAL_SIZE_IO_100_1K,Count,0
TOTAL_SIZE_IO_1K_10K,Count,0
TOTAL_SIZE_IO_10K_100K,Count,0
TOTAL_SIZE_IO_100K_1M,Count,0
TOTAL_SIZE_IO_0_1M,Count,0
TOTAL_SIZE_IO_1M_4M,Count,0
TOTAL_SIZE_IO_4M_10M,Count,0
TOTAL_SIZE_IO_10M_100M,Count,0
TOTAL_SIZE_IO_1M_100M,Count,0
TOTAL_SIZE_IO_100M_1G,Count,0
TOTAL_SIZE_IO_1G_PLUS,Count,0
TOTAL_SIZE_IO_100M_PLUS,Count,0
TOTAL_MD_OPS,Count,0
TOTAL_ACCESS_PATTERN_SCORE,Count,0
