feature,importance
NPROCS,0.010247278256799146
TOTAL_BYTES_READ,0.04992304662717162
TOTAL_BYTES_WRITTEN,0.008081151605534546
TOTAL_MPIIO_COLL_OPENS,0.04938735560034613
TOTAL_MPIIO_COLL_READS,0.005443788601021407
TOTAL_MPIIO_COLL_WRITES,0.003800442896270165
TOTAL_POSIX_MAX_BYTE_WRITTEN,0.4763548198486131
TOTAL_POSIX_OPENS,0.013286040086519672
TOTAL_POSIX_READS,0.007740953580642917
TOTAL_POSIX_SEQ_WRITES,0.09800263633349444
TOTAL_POSIX_SIZE_READ_100K_1M,0.003245050326866791
TOTAL_POSIX_WRITES,0.013435541812318819
TOTAL_STDIO_WRITES,0.0032521993448064723
TOTAL_IO,0.01237792024290285
TOTAL_IO_PER_PROC,0.01364016182757284
TOTAL_READ_OPS,0.14900444729963325
TOTAL_WRITE_OPS,0.018406340653673987
TOTAL_SIZE_IO_0_100,0.047757011157398555
TOTAL_SIZE_IO_1K_10K,0.013108212834475155
TOTAL_SIZE_IO_0_1M,0.003505601063938221
