,SMALL_READ,MEDIUM_READ,LARGE_READ,SMALL_WRITE,MEDIUM_WRITE,LARGE_WRITE,MD_HEAVINESS
0,0.0023029845565857186,0.013078860442300846,0.013133288189555852,0.002478080736631502,0.013126437475053189,0.013131144669320026,0.0
15,0.0017250823610281854,0.012930751054232137,0.013104029349878109,0.0022585159797708174,0.013097697719789907,0.013132301065748715,0.0
19,0.06188312442416663,3.183788214652155e-05,3.183788214652155e-05,0.06786422284778086,4.167871582613668e-06,4.167871582613668e-06,0.5690386033931641
9,0.0015679818221580643,0.25281941657390866,0.37791167837663275,0.0018568086956585867,0.15791680153317383,0.21001162621879343,0.0
14,0.001217094245408669,0.20645351193743358,0.46055296515729816,0.0014043491177699822,0.06631272284119387,0.15642095378030135,0.0
6,0.22903433018510183,0.3115353556732384,0.3115353556732384,0.20207215003100043,0.2235926461213722,0.2235926461213722,0.6539137924718103
3,0.06188607071876765,4.364039535641793e-05,4.364039535641793e-05,0.06787431028538587,3.678282436438988e-06,3.678282436438988e-06,0.569499583969433
13,0.0015826283950345671,0.1744975483025323,0.19582198814344182,0.001988521870121232,0.15550487576360136,0.1431162953486117,0.0
4,0.8757913731792506,0.9086389348464914,0.9086389348464914,0.8193978922877186,0.8801783692715599,0.8801783692715599,0.8853498486019824
1,0.45364183597795416,0.6350812104902951,0.6350812104902951,0.41836943508663427,0.46275229526998785,0.46275229526998785,0.7807454197274726
8,0.001003799092991166,0.2021880398318429,0.4500546087537367,0.0013483169357604065,0.06674736791965397,0.15663013889388835,0.0
10,0.0020965764809203757,0.013003344625163681,0.013074180604316012,0.002257936242659683,0.013124686558699741,0.01312756122806103,0.0
2,0.001313769659505261,0.3187146439070953,0.5862856039205666,0.0016774520194591286,0.11080513414404156,0.18272580924408666,0.0
5,0.0006778498259115049,0.012861094886848518,0.0130407984863847,0.0013025838430487636,0.013089472371105752,0.01313695929488429,0.0
7,0.8849290632966779,0.9072108693941241,0.9072108693941241,0.817699674960304,0.880327648592561,0.880327648592561,0.8804597701149419
18,0.06188553662819007,3.3008043374579264e-05,3.3008043374579264e-05,0.06788777216717108,4.341983993147408e-06,4.341983993147408e-06,0.53461667219634
16,0.4533905493667766,0.6386504108490264,0.6386504108490264,0.4173014253231115,0.4680631993840235,0.4680631993840235,0.7615219307060801
11,0.0618875216238273,4.399525168680515e-05,4.399525168680515e-05,0.06790896163634944,4.1091176031868925e-06,4.1091176031868925e-06,0.5671566398541303
12,0.0011792935090162633,0.2871061666514052,0.3107881802207062,0.0016503833512913,0.11529682323244483,0.19198553596893908,0.0
17,0.0011008718384388444,0.31104370389111347,0.5676921282772185,0.0016491032604758326,0.110720277708618,0.18448284663562534,0.0
